Talker;category;Token;F1;F2;F1_mean;F2_mean;F1_closure;F2_closure
SW_001;hid;1;306;2275;441;2088;434;2088
SW_001;hidd;1;334;2608;426;2085;439;1979
SW_001;hyd;1;299;2285;439;2004;510;2017
SW_001;hydd;1;407;2632;430;2007;456;2035
SW_001;häd;1;745;1751;587;1977;458;1862
SW_001;hädd;1;536;1796;517;1932;522;1938
SW_001;håd;1;426;1616;507;1673;537;2006
SW_001;hådd;1;373;960;445;1533;479;1851
SW_002;hid;1;318;1882;593;1883;396;1743
SW_002;hidd;1;388;2244;555;2035;741;2021
SW_002;hyd;1;223;1929;482;1911;354;1611
SW_002;hydd;1;420;2428;514;2136;499;1799
SW_002;häd;1;286;1458;488;1725;412;1762
SW_002;hädd;1;513;1975;454;1968;459;1742
SW_002;håd;1;343;1370;503;1632;311;1703
SW_002;hådd;1;361;905;388;1624;290;1590
SW_003;hid;1;268;1904;363;1872;563;1883
SW_003;hidd;1;309;1922;597;1985;750;1869
SW_003;hyd;1;254;1937;290;1905;333;1900
SW_003;hydd;1;357;2196;458;1940;342;1979
SW_003;häd;1;339;1813;531;1855;432;1869
SW_003;hädd;1;314;1709;565;1944;655;1963
SW_003;håd;1;288;838;541;1699;432;1850
SW_003;hådd;1;256;818;385;1717;312;1784
SW_004;hid;1;404;1814;540;1773;319;1860
SW_004;hidd;1;411;1882;498;1935;352;1848
SW_004;hyd;1;382;1745;443;1735;387;1755
SW_004;hydd;1;447;2468;485;2036;472;1770
SW_004;häd;1;377;1501;484;1625;449;1632
SW_004;hädd;2;477;1665;457;1681;414;1592
SW_004;håd;1;415;1147;636;1522;424;1583
SW_004;hådd;1;373;870;448;1411;408;1546
SW_005;hid;1;;;327;1950;364;2050
SW_005;hidd;1;;;327;1879;317;2029
SW_005;hyd;1;;;413;2100;341;2034
SW_005;hydd;1;;;311;2054;316;1943
SW_005;häd;1;;;395;1822;308;1854
SW_005;hädd;1;;;462;1937;355;2028
SW_005;håd;1;;;341;1583;377;1666
SW_005;hådd;1;;;350;1588;279;1724
SW_007;hid;1;;;544;2024;461;1847
SW_007;hidd;1;;;408;1898;431;1609
SW_007;hyd;1;;;529;1997;400;1791
SW_007;hydd;1;;;450;1929;541;1822
SW_007;häd;1;;;691;1996;447;1926
SW_007;hädd;1;;;493;1806;499;1808
SW_007;håd;1;;;564;1796;548;1890
SW_007;hådd;1;;;407;1606;513;1834
SW_008;hid;2;;;472;1848;432;1926
SW_008;hidd;2;;;457;1973;580;1821
SW_008;hyd;2;;;376;1847;466;1752
SW_008;hydd;2;;;357;1949;467;1872
SW_008;häd;2;;;608;1764;511;1620
SW_008;hädd;2;;;555;1896;344;1756
SW_008;håd;2;;;428;1669;421;1657
SW_008;hådd;2;;;430;1826;338;1576
SW_009;hid;2;;;360;1923;432;1910
SW_009;hidd;2;;;466;1901;647;2015
SW_009;hyd;2;;;381;1844;365;1757
SW_009;hydd;2;;;502;2052;808;2204
SW_009;häd;2;;;513;1675;572;1840
SW_009;hädd;2;;;428;1872;499;1736
SW_009;håd;2;;;615;1814;438;1668
SW_009;hådd;2;;;407;1486;331;1734
SW_010;hid;2;;;523;1749;350;1735
SW_010;hidd;2;;;445;1857;350;1700
SW_010;hyd;2;;;419;1894;398;1659
SW_010;hydd;2;;;378;2001;371;1727
SW_010;häd;2;;;541;1706;430;1765
SW_010;hädd;2;;;380;1815;316;1711
SW_010;håd;2;;;648;1708;457;1671
SW_010;hådd;2;;;417;1649;583;1646
SW_011;hid;2;;;336;2138;368;1990
SW_011;hidd;2;;;396;1944;453;1800
SW_011;hyd;2;;;366;2102;370;2078
SW_011;hydd;2;;;333;2060;414;1746
SW_011;häd;2;;;503;1872;398;1831
SW_011;hädd;2;;;408;1831;363;1862
SW_011;håd;2;;;357;1605;373;1703
SW_011;hådd;2;;;418;1471;359;1551
SW_012;hid;2;;;383;1763;429;1734
SW_012;hidd;2;;;352;2047;371;1744
SW_012;hyd;2;;;429;1805;401;1767
SW_012;hydd;2;;;383;1864;456;1868
SW_012;häd;2;;;479;1769;474;1755
