Database,Talker,Age,Gender,category,Quantity,Word,Token,F1,F2
Kuronen2000,svsv_1,18,male,[iː],long,bil,1,299,2496
Kuronen2000,svsv_1,18,male,[iː],long,pil,2,277,2590
Kuronen2000,svsv_1,18,male,[iː],long,fila,3,300,2436
Kuronen2000,svsv_1,18,male,[iː],long,rita,4,267,2557
Kuronen2000,svsv_1,18,male,[iː],long,silen,5,310,2476
Kuronen2000,svsv_1,18,male,[iː],long,bi,6,310,2560
Kuronen2000,svsv_1,18,male,[iː],long,pipa,7,256,2593
Kuronen2000,svsv_1,18,male,[yː],long,by,1,267,2240
Kuronen2000,svsv_1,18,male,[yː],long,typ,2,287,2412
Kuronen2000,svsv_1,18,male,[yː],long,myr,3,288,2369
Kuronen2000,svsv_1,18,male,[yː],long,byka,4,288,2326
Kuronen2000,svsv_1,18,male,[yː],long,hysa,5,299,2379
Kuronen2000,svsv_1,18,male,[yː],long,byn,6,255,2379
Kuronen2000,svsv_1,18,male,[yː],long,kypare,7,265,2414
Kuronen2000,svsv_1,18,male,[eː],long,selar,1,333,2272
Kuronen2000,svsv_1,18,male,[eː],long,kelar,2,377,2307
Kuronen2000,svsv_1,18,male,[eː],long,vev,3,365,2265
Kuronen2000,svsv_1,18,male,[eː],long,fel,4,409,2290
Kuronen2000,svsv_1,18,male,[eː],long,lek,5,406,2377
Kuronen2000,svsv_1,18,male,[eː],long,meta,6,343,2404
Kuronen2000,svsv_1,18,male,[eː],long,skepnad,7,361,2395
Kuronen2000,svsv_1,18,male,[øː],long,höta,1,473,1385
Kuronen2000,svsv_1,18,male,[øː],long,böka,2,518,1494
Kuronen2000,svsv_1,18,male,[øː],long,hök,3,508,1472
Kuronen2000,svsv_1,18,male,[øː],long,hög,4,551,1362
Kuronen2000,svsv_1,18,male,[øː],long,lök,5,486,1580
Kuronen2000,svsv_1,18,male,[øː],long,spöke,6,496,1552
Kuronen2000,svsv_1,18,male,[øː],long,köpa,7,549,1427
Kuronen2000,svsv_1,18,male,[œː],long,köra,1,526,1226
Kuronen2000,svsv_1,18,male,[œː],long,höra,2,559,1257
Kuronen2000,svsv_1,18,male,[œː],long,störde,3,602,1246
Kuronen2000,svsv_1,18,male,[œː],long,störde,4,584,1269
Kuronen2000,svsv_1,18,male,[œː],long,förödmjuka,5,517,1297
Kuronen2000,svsv_1,18,male,[œː],long,föra,6,554,1177
Kuronen2000,svsv_1,18,male,[œː],long,björn,7,569,1329
Kuronen2000,svsv_1,18,male,[æː],long,skära,1,683,1746
Kuronen2000,svsv_1,18,male,[æː],long,härad,2,661,1545
Kuronen2000,svsv_1,18,male,[æː],long,kär,3,676,1623
Kuronen2000,svsv_1,18,male,[æː],long,skär,4,668,1820
Kuronen2000,svsv_1,18,male,[æː],long,bära,5,704,1689
Kuronen2000,svsv_1,18,male,[æː],long,gärna,6,661,1705
Kuronen2000,svsv_1,18,male,[ɑː],long,rasar,1,540,883
Kuronen2000,svsv_1,18,male,[ɑː],long,krama,2,529,786
Kuronen2000,svsv_1,18,male,[ɑː],long,faten,3,561,894
Kuronen2000,svsv_1,18,male,[ɑː],long,kranar,4,486,797
Kuronen2000,svsv_1,18,male,[ɑː],long,pater,5,476,786
Kuronen2000,svsv_1,18,male,[ɑː],long,mas,6,497,797
Kuronen2000,svsv_1,18,male,[ɑː],long,stapel,7,518,845
Kuronen2000,svsv_1,18,male,[ʉː],long,kul,1,338,1786
Kuronen2000,svsv_1,18,male,[ʉː],long,gul,2,334,1777
Kuronen2000,svsv_1,18,male,[ʉː],long,puka,3,322,1737
Kuronen2000,svsv_1,18,male,[ʉː],long,supa,4,312,1765
Kuronen2000,svsv_1,18,male,[ʉː],long,huta,5,302,1819
Kuronen2000,svsv_1,18,male,[ʉː],long,bu,6,340,1745
Kuronen2000,svsv_1,18,male,[ʉː],long,ful,7,316,1732
Kuronen2000,svsv_1,18,male,[oː],long,mås,1,328,677
Kuronen2000,svsv_1,18,male,[oː],long,tåt,2,372,776
Kuronen2000,svsv_1,18,male,[oː],long,våd,3,404,667
Kuronen2000,svsv_1,18,male,[oː],long,såpa,4,381,763
Kuronen2000,svsv_1,18,male,[oː],long,vård,5,372,707
Kuronen2000,svsv_1,18,male,[oː],long,dålig,6,353,613
Kuronen2000,svsv_1,18,male,[oː],long,tålig,7,365,670
Kuronen2000,svsv_1,18,male,[uː],long,koka,1,291,584
Kuronen2000,svsv_1,18,male,[uː],long,mos,2,271,677
Kuronen2000,svsv_1,18,male,[uː],long,sopa,3,312,668
Kuronen2000,svsv_1,18,male,[uː],long,bo,4,334,736
Kuronen2000,svsv_1,18,male,[uː],long,mor,5,279,734
Kuronen2000,svsv_1,18,male,[uː],long,boken,6,286,672
Kuronen2000,svsv_1,18,male,[uː],long,hjord,7,298,599
Kuronen2000,svsv_1,18,male,[ɛː],long,NA,1,612,1796
Kuronen2000,svsv_2,18,male,[iː],long,bil,1,300,2116
Kuronen2000,svsv_2,18,male,[iː],long,pil,2,268,2203
Kuronen2000,svsv_2,18,male,[iː],long,fila,3,268,2095
Kuronen2000,svsv_2,18,male,[iː],long,rita,4,300,2051
Kuronen2000,svsv_2,18,male,[iː],long,silen,5,320,2084
Kuronen2000,svsv_2,18,male,[iː],long,bi,6,278,2160
Kuronen2000,svsv_2,18,male,[iː],long,pipa,7,284,2126
Kuronen2000,svsv_2,18,male,[yː],long,by,1,281,2165
Kuronen2000,svsv_2,18,male,[yː],long,typ,2,335,1982
Kuronen2000,svsv_2,18,male,[yː],long,myr,3,314,2015
Kuronen2000,svsv_2,18,male,[yː],long,byka,4,303,1961
Kuronen2000,svsv_2,18,male,[yː],long,hysa,5,346,1961
Kuronen2000,svsv_2,18,male,[yː],long,byn,6,335,2112
Kuronen2000,svsv_2,18,male,[yː],long,kypare,7,281,2036
Kuronen2000,svsv_2,18,male,[eː],long,selar,1,444,1974
Kuronen2000,svsv_2,18,male,[eː],long,kelar,2,381,2029
Kuronen2000,svsv_2,18,male,[eː],long,vev,3,392,2115
Kuronen2000,svsv_2,18,male,[eː],long,fel,4,424,2061
Kuronen2000,svsv_2,18,male,[eː],long,lek,5,381,2040
Kuronen2000,svsv_2,18,male,[eː],long,meta,6,413,1997
Kuronen2000,svsv_2,18,male,[eː],long,skepnad,7,402,2169
Kuronen2000,svsv_2,18,male,[øː],long,höta,1,481,1407
Kuronen2000,svsv_2,18,male,[øː],long,böka,2,471,1459
Kuronen2000,svsv_2,18,male,[øː],long,hök,3,502,1495
Kuronen2000,svsv_2,18,male,[øː],long,hög,4,524,1397
Kuronen2000,svsv_2,18,male,[øː],long,lök,5,505,1406
Kuronen2000,svsv_2,18,male,[øː],long,spöke,6,469,1473
Kuronen2000,svsv_2,18,male,[øː],long,köpa,7,462,1513
Kuronen2000,svsv_2,18,male,[œː],long,köra,1,505,1272
Kuronen2000,svsv_2,18,male,[œː],long,höra,2,509,1218
Kuronen2000,svsv_2,18,male,[œː],long,störde,3,505,1336
Kuronen2000,svsv_2,18,male,[œː],long,störde,4,496,1250
Kuronen2000,svsv_2,18,male,[œː],long,förödmjuka,5,553,1218
