Vowel,F1_gm_mean_mean,F1_gm_var_mean,F1F2_cov_mean,F1F3_cov_mean,F2_gm_mean_mean,F2_gm_var_mean,F2F3_cov_mean,F3_gm_mean_mean,F3_gm_var_mean,synthtalkerF0_gm_mean
ii1,367.3907166354,420.987324787365,-220.324303654307,96.03720418857,2131.14876618659,13198.9329410783,11981.4406311829,3193.31384324285,54676.4635584859,196.274738829684
yy1,354.568437923184,351.136685529652,100.75539757715,-25.70811959754,2045.53595867437,5980.66349229009,1804.86519044913,3275.50939046198,10224.1740004576,196.274738829684
uu1,385.672122814354,439.275829678459,103.661651150166,-218.883164584331,1798.36413857332,3439.95115741152,2455.66048514998,2647.4851660704,10208.0425763376,196.274738829684
ee1,412.958474069981,607.648057126376,-1904.97299876864,-1358.06823236405,2487.68054564271,25614.8869813961,12963.9532491339,3088.45462114678,17788.4522153438,196.274738829684
ae1,794.265201385784,3122.74889898743,300.454504978211,1198.45218828199,1799.58264245086,5110.95986134943,3650.32427837547,2764.21569297331,36698.2346681059,196.274738829684
{:,867.562900714545,3623.65413524191,80.0076141069037,1830.52260647546,1647.3801586884,4905.07514224689,2927.63141866743,2740.7081252633,30129.5852362422,196.274738829684
oe1,635.61326853809,1288.57966362025,337.045501301346,396.095109121109,1534.2256286091,2597.21559739254,-150.639457265215,2681.24072060215,11728.9603451688,196.274738829684
9:,615.757013937101,938.001142892615,7.39605926216124,-208.411615623111,1282.57253951442,1648.92668044262,-95.6483983182549,2749.33763185006,13794.1567360421,196.274738829684
aa1,649.671156386776,2298.91861496747,1860.55979009353,528.783930750299,1032.29489395574,4247.20903329975,254.081364489501,2883.95745460958,13286.1605918546,196.274738829684
oa1,434.873387614025,657.767577956188,1310.82326115635,619.25944492156,780.293743337259,25571.3644939405,9366.48905566563,2951.46497021914,15085.7867581228,196.274738829684
oo1,402.201879884457,1337.36693059262,1000.30096299996,1068.64771630364,833.715605563115,28169.8745382913,10609.4993978271,2866.91656045003,22715.5099891053,196.274738829684
