Vowel,F1_gm_mean_mean,F1_gm_var_mean,F1F2_cov_mean,F1F3_cov_mean,F2_gm_mean_mean,F2_gm_var_mean,F2F3_cov_mean,F3_gm_mean_mean,F3_gm_var_mean,synthtalkerF0_gm_mean
ii1,368.459192464991,441.231566243753,-182.830335106127,-63.9543157301008,2122.49838946277,19335.4910315944,16543.2276307818,3219.83345668389,46775.1606307204,196.219101480804
ih1,381.915358490596,527.194489849374,77.3854257663288,82.5513725615753,2556.24427649552,29639.6207257979,12344.6706799599,3118.01356139137,16193.6671524237,196.219101480804
yy1,355.957594027903,371.405171225573,246.151065802637,-30.8481269661034,2054.78123419899,6672.94914466526,2736.6305135538,3279.04868889419,7818.57239433746,196.219101480804
yh1,385.474710333665,495.726079555741,-545.349065842962,-578.197838274993,2379.42775974666,9034.35432890937,5699.92106134215,2801.08577218007,12951.017653231,196.219101480804
uu1,384.874589477539,451.479569273972,39.6715678744397,-337.094911669236,1785.48533304238,3507.63803770788,2347.44649438045,2639.24220761574,9431.75368325475,196.219101480804
uh1,420.535742308164,658.822900876609,303.626096468248,-527.330679407016,1293.71402022085,4622.25121979425,1445.32441528758,2789.32655463608,11512.9499206727,196.219101480804
ee1,415.130704450583,491.19373354943,-1620.56743841332,-1231.18896956064,2476.4997076168,29633.4103991849,13554.4832721807,3097.8636644728,14220.5859284268,196.219101480804
eh1,642.803448600724,2249.40193018019,-237.767082255054,156.970454883872,1947.64622874823,20087.4102110261,17981.2277398319,2771.21476995573,39812.5503191073,196.219101480804
ae1,788.937847898925,3276.31493540834,382.139931077716,669.626899228486,1799.89173440673,8343.3550917012,7964.9654601013,2791.03006362285,30595.5835373954,196.219101480804
ŠŠr,864.559082804522,3415.89408536709,24.778616193647,1383.7150387006,1645.14987382247,5614.42530248423,3833.24199342447,2759.64961740464,22602.7614437756,196.219101480804
Šr,806.768964742676,3402.98464311619,320.423456209572,1573.77251407887,1759.61312798522,9383.68703979567,9366.48028515081,2803.10382763299,44994.1230082083,196.219101480804
oe1,634.420142714572,1379.29085437131,368.341124803247,380.216099338561,1525.19514452941,2732.91165655853,-122.050858135712,2677.07851465197,12173.8998852091,196.219101480804
oeh1,570.7990330796,1013.70998409027,120.517455867943,169.520100340553,1663.63918964772,3721.97882515955,843.026199317152,2698.23147842381,8538.10070939023,196.219101480804
ššr,610.285538328139,916.650070110089,61.9164760836066,-82.3452332104592,1269.4648735458,1592.09877662575,184.253367856238,2746.85172249498,14765.3185204784,196.219101480804
šr,539.197939706794,1289.0358091146,242.626422733024,394.537505175312,1378.81429300818,4641.60021081836,268.717667786248,2789.48855377569,10470.7067175811,196.219101480804
aa1,645.020651276026,2230.54809061789,1781.18178550474,427.535209376602,1017.53534615661,4273.77822854025,96.6199758663567,2879.2090833993,12999.7789078799,196.219101480804
ah1,797.506626529567,4302.52736086339,1166.91987169965,3515.30371646626,1360.82007589682,2791.00533752313,1336.67625833405,2867.30025986481,39243.2107568923,196.219101480804
oa1,436.159792677193,702.70309442061,1117.23680630897,590.803212680649,792.277667537288,29652.8999014251,10784.6910233489,2960.09304189232,15213.9152346713,196.219101480804
oah1,498.254260615702,1244.38673617819,554.284198883112,293.212427462211,901.960012371547,1940.2315976493,545.039079953801,3036.22359464747,10301.1216005366,196.219101480804
oo1,397.366768329705,615.116134342047,861.555655943866,852.85772490646,836.129234720881,30154.4723526949,11574.4248686979,2876.66816861357,21785.5598416855,196.219101480804
oh1,433.312340840678,1087.83169740214,465.857892801816,216.477739661619,839.076074808527,9601.35285914213,3446.40885434623,2942.35667916286,12037.1340356938,196.219101480804
